Chr,Ne,S,L,nAll,nprimeAll,nSep,nprimeSep
1,50,10,100,4950,,,
1,50,10,250,31125,,,
1,50,10,500,124750,,,
1,50,10,1000,499500,,,
1,50,10,2000,1999000,,,
1,50,10,3000,4498500,,,
1,50,10,5000,12497500,,,
1,50,10,10000,49995000,,,
1,50,20,100,4950,254,,
1,50,20,250,31125,381,,
1,50,20,500,124750,442,,
1,50,20,1000,499500,450,,
1,50,20,2000,1999000,470,,
1,50,20,3000,4498500,478,,
1,50,20,5000,12497500,477,,
1,50,20,10000,49995000,484,,
1,50,25,100,4950,304,,
1,50,25,250,31125,441,,
1,50,25,500,124750,509,,
1,50,25,1000,499500,547,,
1,50,25,2000,1999000,573,,
1,50,25,3000,4498500,576,,
1,50,25,5000,12497500,579,,
1,50,25,10000,49995000,587,,
1,50,25,20000,199990000,666,,
1,50,30,100,4950,340,,
1,50,30,250,31125,594,,
1,50,30,500,124750,749,,
1,50,30,1000,499500,808,,
1,50,30,2000,1999000,823,,
1,50,30,3000,4498500,824,,
1,50,30,5000,12497500,828,,
1,50,30,10000,49995000,848,,
1,50,40,100,4950,,,
1,50,40,250,31125,,,
1,50,40,500,124750,,,
1,50,40,1000,499500,,,
1,50,40,2000,1999000,,,
1,50,40,3000,4498500,,,
1,50,40,5000,12497500,,,
1,50,40,10000,49995000,,,
1,50,50,100,4950,408,,
1,50,50,250,31125,1169,,
1,50,50,500,124750,2330,,
1,50,50,1000,499500,5069,,
1,50,50,2000,1999000,10743,,
1,50,50,3000,4498500,17368,,
1,50,50,5000,12497500,28542,,
1,50,50,10000,49995000,60168,,
1,50,50,20000,199990000,184684,,
1,200,25,100,4950,504,,
1,200,25,250,31125,838,,
1,200,25,500,124750,986,,
1,200,25,1000,499500,1066,,
1,200,25,2000,1999000,1097,,
1,200,25,3000,4498500,1114,,
1,200,25,5000,12497500,1134,,
1,200,25,7000,24496500,1129,,
1,200,25,14000,97993000,1112,,
1,200,50,100,4950,507,,
1,200,50,250,31125,1071,,
1,200,50,500,124750,1303,,
1,200,50,1000,499500,1488,,
1,200,50,2000,1999000,1629,,
1,200,50,3000,4498500,1727,,
1,200,50,5000,12497500,1758,,
1,200,50,7000,24496500,1765,,
1,200,50,14000,97993000,1861,,
1,200,100,100,4950,439,,
1,200,100,250,31125,1100,,
1,200,100,500,124750,1704,,
1,200,100,1000,499500,2456,,
1,200,100,2000,1999000,3144,,
1,200,100,3000,4498500,3314,,
1,200,100,5000,12497500,3659,,
1,200,100,7000,24496500,3767,,
1,200,100,14000,97993000,4373,,
1,200,200,100,4950,338,,
1,200,200,250,31125,1133,,
1,200,200,500,124750,2331,,
1,200,200,1000,499500,4789,,
1,200,200,2000,1999000,9718,,
1,200,200,3000,4498500,14633,,
1,200,200,5000,12497500,28798,,
1,200,200,7000,24496500,45261,,
1,200,200,14000,97993000,102610,,
1,800,25,100,4950,1146,,
1,800,25,250,31125,2269,,
1,800,25,500,124750,2894,,
1,800,25,1000,499500,3214,,
1,800,25,2000,1999000,3407,,
1,800,25,3000,4498500,3523,,
1,800,25,5000,12497500,3552,,
1,800,25,6500,21121750,3555,,
1,800,25,13000,84493500,3523,,
1,800,50,100,4950,1137,,
1,800,50,250,31125,2389,,
1,800,50,500,124750,2951,,
1,800,50,1000,499500,3483,,
1,800,50,2000,1999000,3582,,
1,800,50,3000,4498500,3743,,
1,800,50,5000,12497500,3809,,
1,800,50,6500,21121750,3853,,
1,800,50,13000,84493500,3788,,
1,800,100,100,4950,711,,
1,800,100,250,31125,2178,,
1,800,100,500,124750,3218,,
1,800,100,1000,499500,4341,,
1,800,100,2000,1999000,4904,,
1,800,100,3000,4498500,5118,,
1,800,100,5000,12497500,5211,,
1,800,100,6500,21121750,5191,,
1,800,100,13000,84493500,5563,,
1,800,200,100,4950,478,,
1,800,200,250,31125,1769,,
1,800,200,500,124750,3106,,
1,800,200,1000,499500,5062,,
1,800,200,2000,1999000,6256,,
1,800,200,3000,4498500,6969,,
1,800,200,5000,12497500,7474,,
1,800,200,6500,21121750,7535,,
1,800,200,13000,84493500,9354,,
1,800,400,100,4950,,,
1,800,400,250,31125,,,
1,800,400,500,124750,,,
1,800,400,1000,499500,,,
1,800,400,2000,1999000,,,
1,800,400,3000,4498500,,,
1,800,400,5000,12497500,,,
1,800,400,6500,21121750,,,
1,800,800,100,4950,194,,
1,800,800,250,31125,852,,
1,800,800,500,124750,2100,,
1,800,800,1000,499500,4631,,
1,800,800,2000,1999000,10596,,
1,800,800,3000,4498500,15387,,
1,800,800,5000,12497500,27074,,
1,800,800,6500,21121750,35466,,
1,800,800,13000,84493500,67919,,
1,3200,25,100,4950,2873,,
1,3200,25,250,31125,7918,,
1,3200,25,500,124750,11583,,
1,3200,25,1000,499500,14007,,
1,3200,25,2000,1999000,14918,,
1,3200,25,3000,4498500,15500,,
1,3200,25,5000,12497500,15818,,
1,3200,25,10000,49995000,15901,,
1,3200,25,25000,312487500,16109,,
1,3200,25,50000,1249975000,16151,,
1,3200,50,100,4950,2276,,
1,3200,50,250,31125,6075,,
1,3200,50,500,124750,8829,,
1,3200,50,1000,499500,10332,,
1,3200,50,2000,1999000,10994,,
1,3200,50,3000,4498500,11355,,
1,3200,50,5000,12497500,11484,,
1,3200,50,10000,49995000,11721,,
1,3200,50,25000,312487500,11800,,
1,3200,50,50000,1249975000,11823,,
1,3200,100,100,4950,1663,,
1,3200,100,250,31125,5668,,
1,3200,100,500,124750,10238,,
1,3200,100,1000,499500,13958,,
1,3200,100,2000,1999000,16093,,
1,3200,100,3000,4498500,16660,,
1,3200,100,5000,12497500,17721,,
1,3200,100,10000,49995000,17928,,
1,3200,100,25000,312487500,18260,,
1,3200,100,50000,1249975000,18365,,
1,3200,200,100,4950,,,
1,3200,200,250,31125,,,
1,3200,200,500,124750,,,
1,3200,200,1000,499500,,,
1,3200,200,2000,1999000,,,
1,3200,200,3000,4498500,,,
1,3200,200,5000,12497500,,,
1,3200,200,10000,49995000,,,
1,3200,3200,100,4950,,,
1,3200,3200,250,31125,,,
1,3200,3200,500,124750,,,
1,3200,3200,1000,499500,,,
1,3200,3200,2000,1999000,,,
1,3200,3200,3000,4498500,,,
1,3200,3200,5000,12497500,,,
1,3200,3200,10000,49995000,,,
4,50,10,100,4950,,3713,
4,50,10,250,31125,,23344,
4,50,10,500,124750,,93563,
4,50,10,1000,499500,,374625,
4,50,10,2000,1999000,,1499250,
4,50,10,3000,4498500,,3373875,
4,50,10,5000,12497500,,9373125,
4,50,10,10000,49995000,,37496250,
4,50,20,100,4950,761,3713,612
4,50,20,250,31125,1352,23344,915
4,50,20,500,124750,1697,93563,1100
4,50,20,1000,499500,1869,374625,1201
4,50,20,2000,1999000,1961,1499250,1244
4,50,20,3000,4498500,1988,3373875,1278
4,50,20,5000,12497500,2064,9373125,1343
4,50,20,10000,49995000,2103,37496250,1347
4,50,25,100,4950,618,3713,738
4,50,25,250,31125,1042,23344,1448
4,50,25,500,124750,1217,93563,1771
4,50,25,1000,499500,1334,374625,2014
4,50,25,2000,1999000,1445,1499250,2161
4,50,25,3000,4498500,1471,3373875,2241
4,50,25,5000,12497500,1475,9373125,2236
4,50,25,10000,49995000,1469,37496250,2235
4,50,30,100,4950,745,3713,574
4,50,30,250,31125,1616,23344,1084
4,50,30,500,124750,2054,93563,1388
4,50,30,1000,499500,2473,374625,1647
4,50,30,2000,1999000,2646,1499250,1733
4,50,30,3000,4498500,2737,3373875,1741
4,50,30,5000,12497500,2836,9373125,1797
4,50,30,10000,49995000,2920,37496250,1835
4,50,40,100,4950,,3713,
4,50,40,250,31125,,23344,
4,50,40,500,124750,,93563,
4,50,40,1000,499500,,374625,
4,50,40,2000,1999000,,1499250,
4,50,40,3000,4498500,,3373875,
